치료명,적용 범위,비용,비고
임플란트 보철 나사홀 레진 충전,1치아,"50,000원",-
임플란트 상부보철 재제작,1치아,"600,000원",-
1-piece 임플란트 보철,1악,"3,800,000원",-
임플란트 어태치먼트(로케이터 등),1치아,"300,000원",-
결합조직이식술(CTG),1/3악,"150,000원",-
유리치은이식술(FGG),1/3악,"150,000원",-
상악동거상술 측방 접근 - 복잡,1/3악,"700,000원",-
상악동거상술 측방 접근 - 단순,1/3악,"400,000원",-
상악동거상술 치조정 접근 - 복잡,1/3악,"500,000원",-
상악동거상술 치조정 접근 - 단순,1/3악,"200,000원",-
커스텀 어버트먼트(보험),1치아,"50,000원",-
커스텀 어버트먼트,1치아,"100,000원",-
뼈이식 구치부 - 단순,1/3악,"300,000원",-
뼈이식 전치부 - 단순,1/3악,"400,000원",-
뼈이식 구치부 - 복잡,1/3악,"600,000원",-
뼈이식 전치부 - 복잡,1/3악,"700,000원",-
스트라우만(보험),1치아,"340,000원",추가비용
스트라우만 임플란트,1치아,"1,390,000원",-
오스템 임플란트,1치아,"990,000원",-